Step 50: {'loss': 0.7269, 'grad_norm': 20.571086883544922, 'learning_rate': 9.84974958263773e-05, 'rewards/chosen': -0.3341815173625946, 'rewards/rejected': -7.527733325958252, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 7.193551540374756, 'logps/rejected': -8.36414909362793, 'logps/chosen': -0.37131282687187195, 'logits/rejected': -0.17842693626880646, 'logits/chosen': 0.04058251529932022, 'nll_loss': 0.4763014614582062, 'log_odds_ratio': -0.2784910798072815, 'log_odds_chosen': 9.185879707336426, 'epoch': 0.007479012022511826}
Step 850: {'loss': 0.8925, 'grad_norm': 19.984455108642578, 'learning_rate': 7.178631051752922e-05, 'rewards/chosen': -0.4174751043319702, 'rewards/rejected': -6.7529096603393555, 'rewards/accuracies': 0.6025000214576721, 'rewards/margins': 6.335434436798096, 'logps/rejected': -7.503232955932617, 'logps/chosen': -0.46386122703552246, 'logits/rejected': -0.3470345437526703, 'logits/chosen': -0.16017886996269226, 'nll_loss': 0.6310839056968689, 'log_odds_ratio': -0.2904656231403351, 'log_odds_chosen': 7.974859237670898, 'epoch': 0.12714320438270105}
Step 900: {'loss': 0.8388, 'grad_norm': 22.094038009643555, 'learning_rate': 7.011686143572621e-05, 'rewards/chosen': -0.40895766019821167, 'rewards/rejected': -8.42488956451416, 'rewards/accuracies': 0.6424999833106995, 'rewards/margins': 8.0159330368042, 'logps/rejected': -9.36098861694336, 'logps/chosen': -0.45439743995666504, 'logits/rejected': -0.3665844798088074, 'logits/chosen': -0.12596267461776733, 'nll_loss': 0.6003015637397766, 'log_odds_ratio': -0.2649475038051605, 'log_odds_chosen': 9.90568733215332, 'epoch': 0.13462221640521288}
Step 950: {'loss': 0.8724, 'grad_norm': 25.056415557861328, 'learning_rate': 6.844741235392321e-05, 'rewards/chosen': -0.4257972240447998, 'rewards/rejected': -8.226861953735352, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 7.801065444946289, 'logps/rejected': -9.140959739685059, 'logps/chosen': -0.47310805320739746, 'logits/rejected': -0.2928142249584198, 'logits/chosen': -0.04143797233700752, 'nll_loss': 0.6288083791732788, 'log_odds_ratio': -0.27063238620758057, 'log_odds_chosen': 9.581998825073242, 'epoch': 0.14210122842772469}
Step 1000: {'loss': 0.9172, 'grad_norm': 19.951553344726562, 'learning_rate': 6.67779632721202e-05, 'rewards/chosen': -0.45175591111183167, 'rewards/rejected': -7.765244007110596, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 7.313488006591797, 'logps/rejected': -8.62804889678955, 'logps/chosen': -0.5019510388374329, 'logits/rejected': -0.19343961775302887, 'logits/chosen': 0.05161156505346298, 'nll_loss': 0.6674435138702393, 'log_odds_ratio': -0.2775404453277588, 'log_odds_chosen': 9.028307914733887, 'epoch': 0.14958024045023652}
Step 1050: {'loss': 0.9555, 'grad_norm': 22.313735961914062, 'learning_rate': 6.51085141903172e-05, 'rewards/chosen': -0.45644378662109375, 'rewards/rejected': -7.405606269836426, 'rewards/accuracies': 0.5899999737739563, 'rewards/margins': 6.949162483215332, 'logps/rejected': -8.2284517288208, 'logps/chosen': -0.5071597695350647, 'logits/rejected': -0.2255922555923462, 'logits/chosen': -0.0013411190593615174, 'nll_loss': 0.6898732781410217, 'log_odds_ratio': -0.29516199231147766, 'log_odds_chosen': 8.592935562133789, 'epoch': 0.15705925247274835}
Step 1100: {'loss': 0.9233, 'grad_norm': 22.792829513549805, 'learning_rate': 6.343906510851419e-05, 'rewards/chosen': -0.4599262475967407, 'rewards/rejected': -7.748920440673828, 'rewards/accuracies': 0.6075000166893005, 'rewards/margins': 7.288994312286377, 'logps/rejected': -8.609911918640137, 'logps/chosen': -0.5110291838645935, 'logits/rejected': -0.21319922804832458, 'logits/chosen': 0.05847322940826416, 'nll_loss': 0.6678599715232849, 'log_odds_ratio': -0.28387004137039185, 'log_odds_chosen': 8.960773468017578, 'epoch': 0.16453826449526018}
Step 1150: {'loss': 0.9749, 'grad_norm': 19.290760040283203, 'learning_rate': 6.176961602671118e-05, 'rewards/chosen': -0.5212971568107605, 'rewards/rejected': -7.693278789520264, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 7.171980381011963, 'logps/rejected': -8.548086166381836, 'logps/chosen': -0.5792190432548523, 'logits/rejected': -0.21087387204170227, 'logits/chosen': 0.06039022281765938, 'nll_loss': 0.7118210792541504, 'log_odds_ratio': -0.2923487424850464, 'log_odds_chosen': 8.785209655761719, 'epoch': 0.172017276517772}
Step 1200: {'loss': 0.9441, 'grad_norm': 23.335046768188477, 'learning_rate': 6.0100166944908185e-05, 'rewards/chosen': -0.47397613525390625, 'rewards/rejected': -8.278371810913086, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 7.804396152496338, 'logps/rejected': -9.19819164276123, 'logps/chosen': -0.5266401767730713, 'logits/rejected': -0.21748560667037964, 'logits/chosen': 0.08043289184570312, 'nll_loss': 0.6883261799812317, 'log_odds_ratio': -0.28417426347732544, 'log_odds_chosen': 9.52609634399414, 'epoch': 0.17949628854028382}
Step 1250: {'loss': 1.0334, 'grad_norm': 24.4237117767334, 'learning_rate': 5.8430717863105176e-05, 'rewards/chosen': -0.5220102667808533, 'rewards/rejected': -8.575922012329102, 'rewards/accuracies': 0.6075000166893005, 'rewards/margins': 8.053912162780762, 'logps/rejected': -9.528802871704102, 'logps/chosen': -0.5800113677978516, 'logits/rejected': -0.12983164191246033, 'logits/chosen': 0.1766790896654129, 'nll_loss': 0.7764238119125366, 'log_odds_ratio': -0.28555014729499817, 'log_odds_chosen': 9.757901191711426, 'epoch': 0.18697530056279565}
Step 1300: {'loss': 1.0462, 'grad_norm': 22.780420303344727, 'learning_rate': 5.676126878130217e-05, 'rewards/chosen': -0.5417099595069885, 'rewards/rejected': -8.365402221679688, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 7.823692798614502, 'logps/rejected': -9.294891357421875, 'logps/chosen': -0.6018999814987183, 'logits/rejected': -0.10541250556707382, 'logits/chosen': 0.1925704926252365, 'nll_loss': 0.7798372507095337, 'log_odds_ratio': -0.2959097921848297, 'log_odds_chosen': 9.496273040771484, 'epoch': 0.1944543125853075}
Step 1350: {'loss': 1.0215, 'grad_norm': 23.28079605102539, 'learning_rate': 5.509181969949917e-05, 'rewards/chosen': -0.5188129544258118, 'rewards/rejected': -7.594222545623779, 'rewards/accuracies': 0.6100000143051147, 'rewards/margins': 7.075408935546875, 'logps/rejected': -8.438024520874023, 'logps/chosen': -0.5764588713645935, 'logits/rejected': 0.009586839936673641, 'logits/chosen': 0.2641635239124298, 'nll_loss': 0.7634685039520264, 'log_odds_ratio': -0.2867449223995209, 'log_odds_chosen': 8.714794158935547, 'epoch': 0.20193332460781932}
Step 1400: {'loss': 1.0854, 'grad_norm': 24.19915771484375, 'learning_rate': 5.342237061769616e-05, 'rewards/chosen': -0.5523931980133057, 'rewards/rejected': -7.490333080291748, 'rewards/accuracies': 0.6100000143051147, 'rewards/margins': 6.9379401206970215, 'logps/rejected': -8.322592735290527, 'logps/chosen': -0.6137702465057373, 'logits/rejected': 0.05687364190816879, 'logits/chosen': 0.3246653079986572, 'nll_loss': 0.824801504611969, 'log_odds_ratio': -0.28950920701026917, 'log_odds_chosen': 8.481093406677246, 'epoch': 0.20941233663033113}
Step 1450: {'loss': 1.0504, 'grad_norm': 22.149822235107422, 'learning_rate': 5.175292153589316e-05, 'rewards/chosen': -0.5274165868759155, 'rewards/rejected': -7.73580265045166, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 7.208386421203613, 'logps/rejected': -8.5953369140625, 'logps/chosen': -0.5860185027122498, 'logits/rejected': 0.14864234626293182, 'logits/chosen': 0.43100741505622864, 'nll_loss': 0.7840936183929443, 'log_odds_ratio': -0.29586920142173767, 'log_odds_chosen': 8.779277801513672, 'epoch': 0.21689134865284296}
Step 1500: {'loss': 1.0666, 'grad_norm': 21.53144645690918, 'learning_rate': 5.0083472454090154e-05, 'rewards/chosen': -0.5596370697021484, 'rewards/rejected': -7.995043754577637, 'rewards/accuracies': 0.6200000047683716, 'rewards/margins': 7.435407638549805, 'logps/rejected': -8.883382797241211, 'logps/chosen': -0.621819019317627, 'logits/rejected': 0.14229804277420044, 'logits/chosen': 0.4470651149749756, 'nll_loss': 0.8123089075088501, 'log_odds_ratio': -0.2825542688369751, 'log_odds_chosen': 9.053414344787598, 'epoch': 0.2243703606753548}
Step 1550: {'loss': 1.0779, 'grad_norm': 18.707998275756836, 'learning_rate': 4.8414023372287146e-05, 'rewards/chosen': -0.5611382126808167, 'rewards/rejected': -7.973802089691162, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 7.412663459777832, 'logps/rejected': -8.859780311584473, 'logps/chosen': -0.6234868764877319, 'logits/rejected': 0.1405123770236969, 'logits/chosen': 0.4574506878852844, 'nll_loss': 0.8152862787246704, 'log_odds_ratio': -0.29176682233810425, 'log_odds_chosen': 8.985933303833008, 'epoch': 0.23184937269786662}
Step 1600: {'loss': 1.1071, 'grad_norm': 22.618581771850586, 'learning_rate': 4.6744574290484144e-05, 'rewards/chosen': -0.5768176317214966, 'rewards/rejected': -8.466460227966309, 'rewards/accuracies': 0.625, 'rewards/margins': 7.889641761779785, 'logps/rejected': -9.407176971435547, 'logps/chosen': -0.640908420085907, 'logits/rejected': 0.22507032752037048, 'logits/chosen': 0.5354976058006287, 'nll_loss': 0.8510263562202454, 'log_odds_ratio': -0.2844834625720978, 'log_odds_chosen': 9.543268203735352, 'epoch': 0.23932838472037843}
Step 1650: {'loss': 1.0744, 'grad_norm': 24.563879013061523, 'learning_rate': 4.5075125208681135e-05, 'rewards/chosen': -0.5438335537910461, 'rewards/rejected': -8.315757751464844, 'rewards/accuracies': 0.6225000023841858, 'rewards/margins': 7.7719244956970215, 'logps/rejected': -9.239731788635254, 'logps/chosen': -0.6042594909667969, 'logits/rejected': 0.24838264286518097, 'logits/chosen': 0.5461525321006775, 'nll_loss': 0.8244242072105408, 'log_odds_ratio': -0.27775534987449646, 'log_odds_chosen': 9.4226655960083, 'epoch': 0.24680739674289026}
Step 1700: {'loss': 1.1554, 'grad_norm': 23.726093292236328, 'learning_rate': 4.3405676126878134e-05, 'rewards/chosen': -0.5948571562767029, 'rewards/rejected': -8.007146835327148, 'rewards/accuracies': 0.5874999761581421, 'rewards/margins': 7.412288665771484, 'logps/rejected': -8.896828651428223, 'logps/chosen': -0.6609524488449097, 'logits/rejected': 0.3093331456184387, 'logits/chosen': 0.6306750774383545, 'nll_loss': 0.8856426477432251, 'log_odds_ratio': -0.29977402091026306, 'log_odds_chosen': 8.93136215209961, 'epoch': 0.2542864087654021}
Step 1750: {'loss': 1.1571, 'grad_norm': 20.622392654418945, 'learning_rate': 4.1736227045075125e-05, 'rewards/chosen': -0.5980845093727112, 'rewards/rejected': -7.721052169799805, 'rewards/accuracies': 0.5924999713897705, 'rewards/margins': 7.122967720031738, 'logps/rejected': -8.578948020935059, 'logps/chosen': -0.6645383238792419, 'logits/rejected': 0.3715403378009796, 'logits/chosen': 0.6781087517738342, 'nll_loss': 0.8827110528945923, 'log_odds_ratio': -0.30483973026275635, 'log_odds_chosen': 8.622955322265625, 'epoch': 0.2617654207879139}
Step 1800: {'loss': 1.2292, 'grad_norm': 23.213529586791992, 'learning_rate': 4.006677796327212e-05, 'rewards/chosen': -0.6725025177001953, 'rewards/rejected': -8.361709594726562, 'rewards/accuracies': 0.5849999785423279, 'rewards/margins': 7.689206600189209, 'logps/rejected': -9.290788650512695, 'logps/chosen': -0.7472250461578369, 'logits/rejected': 0.47436368465423584, 'logits/chosen': 0.8214914798736572, 'nll_loss': 0.9574563503265381, 'log_odds_ratio': -0.3018888533115387, 'log_odds_chosen': 9.141047477722168, 'epoch': 0.26924443281042576}
Step 1850: {'loss': 1.1931, 'grad_norm': 22.14607048034668, 'learning_rate': 3.839732888146912e-05, 'rewards/chosen': -0.6304821968078613, 'rewards/rejected': -9.144442558288574, 'rewards/accuracies': 0.6274999976158142, 'rewards/margins': 8.513959884643555, 'logps/rejected': -10.160491943359375, 'logps/chosen': -0.7005357146263123, 'logits/rejected': 0.4637710452079773, 'logits/chosen': 0.8422941565513611, 'nll_loss': 0.9436246752738953, 'log_odds_ratio': -0.27720457315444946, 'log_odds_chosen': 10.162029266357422, 'epoch': 0.2767234448329376}
Step 1900: {'loss': 1.2201, 'grad_norm': 19.665523529052734, 'learning_rate': 3.6727879799666106e-05, 'rewards/chosen': -0.6354017853736877, 'rewards/rejected': -7.942234992980957, 'rewards/accuracies': 0.5550000071525574, 'rewards/margins': 7.306833267211914, 'logps/rejected': -8.824706077575684, 'logps/chosen': -0.7060019969940186, 'logits/rejected': 0.5685160756111145, 'logits/chosen': 0.8971968293190002, 'nll_loss': 0.9255037903785706, 'log_odds_ratio': -0.3273240029811859, 'log_odds_chosen': 8.768242835998535, 'epoch': 0.28420245685544937}
Step 1950: {'loss': 1.2428, 'grad_norm': 17.864774703979492, 'learning_rate': 3.5058430717863105e-05, 'rewards/chosen': -0.6650934815406799, 'rewards/rejected': -8.970929145812988, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 8.305834770202637, 'logps/rejected': -9.967700004577637, 'logps/chosen': -0.7389927506446838, 'logits/rejected': 0.5573188662528992, 'logits/chosen': 0.9382864236831665, 'nll_loss': 0.9788310527801514, 'log_odds_ratio': -0.2932773530483246, 'log_odds_chosen': 9.90234661102295, 'epoch': 0.2916814688779612}
Step 2000: {'loss': 1.2949, 'grad_norm': 21.336172103881836, 'learning_rate': 3.33889816360601e-05, 'rewards/chosen': -0.7004153728485107, 'rewards/rejected': -9.371572494506836, 'rewards/accuracies': 0.6175000071525574, 'rewards/margins': 8.671156883239746, 'logps/rejected': -10.412858963012695, 'logps/chosen': -0.778239369392395, 'logits/rejected': 0.7271444201469421, 'logits/chosen': 1.1143299341201782, 'nll_loss': 1.0348199605941772, 'log_odds_ratio': -0.28898563981056213, 'log_odds_chosen': 10.277194023132324, 'epoch': 0.29916048090047304}
Step 2050: {'loss': 1.2453, 'grad_norm': 23.781349182128906, 'learning_rate': 3.1719532554257094e-05, 'rewards/chosen': -0.6780409216880798, 'rewards/rejected': -9.387937545776367, 'rewards/accuracies': 0.6449999809265137, 'rewards/margins': 8.7098970413208, 'logps/rejected': -10.431041717529297, 'logps/chosen': -0.7533788084983826, 'logits/rejected': 0.6651110649108887, 'logits/chosen': 1.0772417783737183, 'nll_loss': 0.9965612888336182, 'log_odds_ratio': -0.27635982632637024, 'log_odds_chosen': 10.287208557128906, 'epoch': 0.30663949292298487}
Step 2100: {'loss': 1.2907, 'grad_norm': 19.01716423034668, 'learning_rate': 3.0050083472454093e-05, 'rewards/chosen': -0.6869961023330688, 'rewards/rejected': -9.260469436645508, 'rewards/accuracies': 0.612500011920929, 'rewards/margins': 8.57347297668457, 'logps/rejected': -10.289410591125488, 'logps/chosen': -0.7633289098739624, 'logits/rejected': 0.8482031226158142, 'logits/chosen': 1.2513772249221802, 'nll_loss': 1.0231859683990479, 'log_odds_ratio': -0.29724791646003723, 'log_odds_chosen': 10.151044845581055, 'epoch': 0.3141185049454967}
Step 2150: {'loss': 1.3079, 'grad_norm': 19.97458839416504, 'learning_rate': 2.8380634390651084e-05, 'rewards/chosen': -0.7112301588058472, 'rewards/rejected': -10.042784690856934, 'rewards/accuracies': 0.6575000286102295, 'rewards/margins': 9.331554412841797, 'logps/rejected': -11.158649444580078, 'logps/chosen': -0.7902557253837585, 'logits/rejected': 0.8243706226348877, 'logits/chosen': 1.2740509510040283, 'nll_loss': 1.0680259466171265, 'log_odds_ratio': -0.26649606227874756, 'log_odds_chosen': 10.983577728271484, 'epoch': 0.32159751696800853}
Step 2200: {'loss': 1.3198, 'grad_norm': 25.554779052734375, 'learning_rate': 2.671118530884808e-05, 'rewards/chosen': -0.7254722714424133, 'rewards/rejected': -8.995816230773926, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 8.270344734191895, 'logps/rejected': -9.995351791381836, 'logps/chosen': -0.8060802221298218, 'logits/rejected': 0.887905478477478, 'logits/chosen': 1.2958604097366333, 'nll_loss': 1.045806884765625, 'log_odds_ratio': -0.3043907582759857, 'log_odds_chosen': 9.756477355957031, 'epoch': 0.32907652899052037}
Step 2250: {'loss': 1.3247, 'grad_norm': 17.852611541748047, 'learning_rate': 2.5041736227045077e-05, 'rewards/chosen': -0.7312774062156677, 'rewards/rejected': -9.216504096984863, 'rewards/accuracies': 0.6474999785423279, 'rewards/margins': 8.485227584838867, 'logps/rejected': -10.240561485290527, 'logps/chosen': -0.812530517578125, 'logits/rejected': 0.9383068680763245, 'logits/chosen': 1.3698437213897705, 'nll_loss': 1.087135910987854, 'log_odds_ratio': -0.26395487785339355, 'log_odds_chosen': 10.039536476135254, 'epoch': 0.3365555410130322}
Step 2300: {'loss': 1.4184, 'grad_norm': 16.29878807067871, 'learning_rate': 2.3372287145242072e-05, 'rewards/chosen': -0.7946590185165405, 'rewards/rejected': -8.450281143188477, 'rewards/accuracies': 0.5799999833106995, 'rewards/margins': 7.655620574951172, 'logps/rejected': -9.389200210571289, 'logps/chosen': -0.8829545378684998, 'logits/rejected': 1.0437989234924316, 'logits/chosen': 1.444674015045166, 'nll_loss': 1.1286557912826538, 'log_odds_ratio': -0.3219306170940399, 'log_odds_chosen': 9.048885345458984, 'epoch': 0.344034553035544}
Step 2350: {'loss': 1.4997, 'grad_norm': 15.921995162963867, 'learning_rate': 2.1702838063439067e-05, 'rewards/chosen': -0.8187785148620605, 'rewards/rejected': -8.501283645629883, 'rewards/accuracies': 0.5899999737739563, 'rewards/margins': 7.6825056076049805, 'logps/rejected': -9.445871353149414, 'logps/chosen': -0.9097539782524109, 'logits/rejected': 1.2265011072158813, 'logits/chosen': 1.6416685581207275, 'nll_loss': 1.2088805437088013, 'log_odds_ratio': -0.32312214374542236, 'log_odds_chosen': 9.056011199951172, 'epoch': 0.3515135650580558}
Step 2400: {'loss': 1.4359, 'grad_norm': 16.65495491027832, 'learning_rate': 2.003338898163606e-05, 'rewards/chosen': -0.7843843102455139, 'rewards/rejected': -8.646002769470215, 'rewards/accuracies': 0.6050000190734863, 'rewards/margins': 7.861617565155029, 'logps/rejected': -9.606668472290039, 'logps/chosen': -0.8715381026268005, 'logits/rejected': 1.2502461671829224, 'logits/chosen': 1.672471284866333, 'nll_loss': 1.1648643016815186, 'log_odds_ratio': -0.30110034346580505, 'log_odds_chosen': 9.285473823547363, 'epoch': 0.35899257708056764}
